account,signal,value,source,collected_at
PNC Financial,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:15:51+00:00
Truist,ai_announce,21,SEC EDGAR: 3 AI-referencing filings (180d),2026-09-05T07:15:52+00:00
Capital One,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:15:52+00:00
Charles Schwab,ai_announce,21,SEC EDGAR: 3 AI-referencing filings (180d),2026-09-05T07:15:55+00:00
TD Bank Group,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:15:56+00:00
Visa,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:15:57+00:00
Mastercard,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:15:58+00:00
American Express,ai_announce,42,SEC EDGAR: 6 AI-referencing filings (180d),2026-09-05T07:16:00+00:00
PayPal,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:16:00+00:00
Global Payments,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:04+00:00
BlackRock,ai_announce,42,SEC EDGAR: 6 AI-referencing filings (180d),2026-09-05T07:16:05+00:00
Prudential Financial,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:06+00:00
MetLife,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:08+00:00
Chubb,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:09+00:00
Progressive,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:10+00:00
Allstate,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:10+00:00
AIG,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:16:11+00:00
Aon,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:16:11+00:00
Eli Lilly,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:16:12+00:00
Pfizer,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:16:13+00:00
Johnson & Johnson,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:13+00:00
Merck,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:14+00:00
AbbVie,ai_announce,21,SEC EDGAR: 3 AI-referencing filings (180d),2026-09-05T07:16:14+00:00
